"Step","cleanup_cbambaseline - SW_ep_rew_total","cleanup_cbambaseline - SW_ep_rew_total__MIN","cleanup_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4901.3125","-4901.3125","-4901.3125"
"128000","-4619.019958496094","-4619.019958496094","-4619.019958496094"
"192000","-3911.0900268554688","-3911.0900268554688","-3911.0900268554688"
"256000","-3685.510009765625","-3685.510009765625","-3685.510009765625"
"320000","-3350.5","-3350.5","-3350.5"
"384000","-2661.0700073242188","-2661.0700073242188","-2661.0700073242188"
"448000","-2143.6099853515625","-2143.6099853515625","-2143.6099853515625"
"512000","-1884.7900085449219","-1884.7900085449219","-1884.7900085449219"
"576000","-1657.7100219726562","-1657.7100219726562","-1657.7100219726562"
"640000","-1256.0599822998047","-1256.0599822998047","-1256.0599822998047"
"704000","-1110.6000213623047","-1110.6000213623047","-1110.6000213623047"
"768000","-1054.5","-1054.5","-1054.5"
"832000","-870.6699981689453","-870.6699981689453","-870.6699981689453"
"896000","-703.4400177001953","-703.4400177001953","-703.4400177001953"
"960000","-575.2699890136719","-575.2699890136719","-575.2699890136719"
"1024000","-579.6900100708008","-579.6900100708008","-579.6900100708008"
"1088000","-613","-613","-613"
"1152000","-537.7200012207031","-537.7200012207031","-537.7200012207031"
"1216000","-458.1800079345703","-458.1800079345703","-458.1800079345703"
"1280000","-415.82000732421875","-415.82000732421875","-415.82000732421875"
"1344000","-364.61000061035156","-364.61000061035156","-364.61000061035156"
"1408000","-288.7299995422363","-288.7299995422363","-288.7299995422363"
"1472000","-308.5699996948242","-308.5699996948242","-308.5699996948242"
"1536000","-322.48999404907227","-322.48999404907227","-322.48999404907227"
"1600000","-281.7200012207031","-281.7200012207031","-281.7200012207031"
"1664000","-247.43999862670898","-247.43999862670898","-247.43999862670898"
"1728000","-221.27999877929688","-221.27999877929688","-221.27999877929688"
"1792000","-191.8900032043457","-191.8900032043457","-191.8900032043457"
"1856000","-176.04999923706055","-176.04999923706055","-176.04999923706055"
"1920000","-134.27000045776367","-134.27000045776367","-134.27000045776367"
"1984000","-110.28999900817871","-110.28999900817871","-110.28999900817871"
"2048000","-102","-102","-102"
"2112000","-85.29000091552734","-85.29000091552734","-85.29000091552734"
"2176000","-69.9300012588501","-69.9300012588501","-69.9300012588501"
"2240000","-64.20999908447266","-64.20999908447266","-64.20999908447266"
"2304000","-61.32999897003174","-61.32999897003174","-61.32999897003174"
"2368000","-52.369999408721924","-52.369999408721924","-52.369999408721924"
"2432000","-42.91000032424927","-42.91000032424927","-42.91000032424927"
"2496000","-32.980000019073486","-32.980000019073486","-32.980000019073486"
"2560000","-26.360000133514404","-26.360000133514404","-26.360000133514404"
"2624000","-20.859999656677246","-20.859999656677246","-20.859999656677246"
"2688000","-18.66000008583069","-18.66000008583069","-18.66000008583069"
"2752000","-9.859999880194664","-9.859999880194664","-9.859999880194664"
"2816000","-5.42000013589859","-5.42000013589859","-5.42000013589859"
"2880000","2.669999897480011","2.669999897480011","2.669999897480011"
"2944000","3.5400002002716064","3.5400002002716064","3.5400002002716064"
"3008000","9.459999829530716","9.459999829530716","9.459999829530716"
"3072000","4.960000053048134","4.960000053048134","4.960000053048134"
"3136000","6.999999940395355","6.999999940395355","6.999999940395355"
"3200000","10.81999995186925","10.81999995186925","10.81999995186925"
"3264000","12.170000314712524","12.170000314712524","12.170000314712524"
"3328000","16.250000476837158","16.250000476837158","16.250000476837158"
"3392000","19.890000462532043","19.890000462532043","19.890000462532043"
"3456000","19.630000174045563","19.630000174045563","19.630000174045563"
"3520000","21.210000172257423","21.210000172257423","21.210000172257423"
"3584000","15.799999862909317","15.799999862909317","15.799999862909317"
"3648000","20.769999742507935","20.769999742507935","20.769999742507935"
"3712000","25.199999809265137","25.199999809265137","25.199999809265137"
"3776000","27.010000228881836","27.010000228881836","27.010000228881836"
"3840000","27.070000171661377","27.070000171661377","27.070000171661377"
"3904000","25.3100004196167","25.3100004196167","25.3100004196167"
"3968000","25.09000015258789","25.09000015258789","25.09000015258789"
"4032000","23.920000314712524","23.920000314712524","23.920000314712524"
"4096000","26.899999618530273","26.899999618530273","26.899999618530273"
"4160000","27.269999504089355","27.269999504089355","27.269999504089355"
"4224000","28.410000324249268","28.410000324249268","28.410000324249268"
"4288000","28.139999866485596","28.139999866485596","28.139999866485596"
"4352000","29.639999866485596","29.639999866485596","29.639999866485596"
"4416000","33.15999984741211","33.15999984741211","33.15999984741211"
"4480000","32.14999961853027","32.14999961853027","32.14999961853027"
"4544000","32.34999990463257","32.34999990463257","32.34999990463257"
"4608000","34.22000026702881","34.22000026702881","34.22000026702881"
"4672000","36.360000133514404","36.360000133514404","36.360000133514404"
"4736000","32.230000019073486","32.230000019073486","32.230000019073486"
"4800000","30.40000009536743","30.40000009536743","30.40000009536743"
"4864000","30.550000190734863","30.550000190734863","30.550000190734863"
"4928000","33.010000228881836","33.010000228881836","33.010000228881836"
"4992000","33.3100004196167","33.3100004196167","33.3100004196167"
"5056000","31.740000247955322","31.740000247955322","31.740000247955322"
"5120000","28.830000400543213","28.830000400543213","28.830000400543213"
"5184000","28.679999828338623","28.679999828338623","28.679999828338623"
"5248000","28.670000076293945","28.670000076293945","28.670000076293945"
"5312000","26.71999979019165","26.71999979019165","26.71999979019165"
"5376000","25.169999599456787","25.169999599456787","25.169999599456787"
"5440000","29.31999969482422","29.31999969482422","29.31999969482422"
"5504000","28.19000005722046","28.19000005722046","28.19000005722046"
"5568000","24.610000133514404","24.610000133514404","24.610000133514404"
"5632000","25.52999973297119","25.52999973297119","25.52999973297119"
"5696000","27.009999752044678","27.009999752044678","27.009999752044678"
"5760000","30.390000343322754","30.390000343322754","30.390000343322754"
"5824000","28.0600004196167","28.0600004196167","28.0600004196167"
"5888000","24.229999542236328","24.229999542236328","24.229999542236328"
"5952000","26.430000066757202","26.430000066757202","26.430000066757202"
"6016000","26.260000228881836","26.260000228881836","26.260000228881836"
"6080000","26.419999599456787","26.419999599456787","26.419999599456787"
"6144000","27.010000228881836","27.010000228881836","27.010000228881836"
"6208000","24.46999979019165","24.46999979019165","24.46999979019165"
